SL,Too young,Sequence Matching (Manual),Prediction GorillaVision,Prediction Dino,Prediction Max,Prediction Interspecies
0,,,WIG,WIG,,CYU
1,,,KBU,GAH,,KAV
2,,,KHA_2,KBU,,MBI
3,,"7,12,13",NDT,NTI,WIG,WIG
4,,,CYU,KHA,,REM
5,,,KAV,SUL,,MBI
6,,"8,10",KAV,GAH,INO,INO
7,,"3,12,13",KAV,NTI,WIG,WIG
8,,"6,10",NDT,GAH,INO,INO
9,,,KAT,KHA,,IKR
10,,,NDT,GAH,INO,INO
11,,,INO,GAH,,Elephant
12,,"3,7,13",NDT,GAH,WIG,WIG
13,,"3,7,12",RAK,REM,WIG,WIG
14,,"36,37",KHA_2,REM,KBU (unsure),KBU
15,,20,NDT,GAH,INO,INO
16,,"14,36,37",KBU,REM,KBU(unsure),NOT VISIBLE
17,X,,NRJ,IKR,,NAN
18,,,WIG,REM,ICM,ICM
19,,,KAV,GAH,KHA,KHA
20,,15,NDT,INO,INO,INO
21,X,,KHA_2,INO,,IZO
22,,,WIG,IKR,,SUL
23,,,WIG,INO,,KHA
24,,,KAV,NTI,KAT,KAT
25,,26,KAV,NTI,KHA,KHA
26,,25,KBU,REM,KHA,KHA
27,,28,KHA_2,IKR,,SUL
28,,27,KHA_2,NTI,,SUL
29,,,MBI,KAV,,SUL
30,X,,NRJ,IKR,,IZO
31,,,RWU,IKR,,SUL
32,X,,NRJ,IKR,,IZO
33,,,NDT,KHA,KHA,KHA
34,,35,WIG,NTI,ICM (unsure),ICM
35,,34,NDT,GAH,ICM (unsure),ICM
36,,"37,14",KHA_2,GAH,KBU (unsure),KAV
37,,"36,14",NDT,KBU,KBU (unsure),KAV
38,X,,NRJ,IKR,,IZO
39,,,NDT,NTI,SUI (unsure),SUL
40,,"42,51",NDT,GAH,INO,INO
41,,,ICM,ICM,KAT,KAT
42,,"40,51",NDT,KBU,INO,INO
43,,,REM,IKR,,IZO
44,X,,KAV,REM,,REM
45,,46,KHA_2,KHA,,MBI
46,,45,KHA_2,KHA,,MBI
47,,,ICM,REM,,GAH
48,,,KAV,NTI,,GAH
49,,,KAV,KHA,,KAV
50,,,ICM,NRJ,,NRJ
51,,"40,42",KHA_2,INO,INO,INO
52,,"51,52,54",WIG,GAH,INO,INO
53,,,WIG,NTI,,KHA
54,,"51,52",NDT,GAH,INO,INO
55,,,KBU,KHA,KBU(unsure),KBU
56,,,NRJ,INO,MBI (Unsure),GAH
57,,,KAV,NTI,KBU(unsure),KAV
58,,,NRJ,NTI,WIG,RWU
59,,"60,61,63",INO,REM,CYU (unsure),CYU
60,,"59,61,63",KBU,IKR,CYU (unsure),CYU
61,,"59,60,63",INO,KHA,CYU (unsure),CYU
62,,,KAT,NTI,SUL (unsure),SUL
63,,"59,60,61",KHA_2,NTI,CYU (unsure),CYU
64,,,NDT,NTI,WIG,REM
65,,,KBU,REM,KAV (unsure),KAV
66,,67,KAT,GAH,,NTI
67,,66,REM,NTI,,NTI
68,,,KHA_2,NTI,KAV (unsure),KAV
69,,,KBU,KBU,KBU,KAV
70,,,ICM,NTI,,MBI
71,,,KBU,INO,KAV,KAV
72,,,RAK,NTI,,NTI
73,,,INO,REM,NDT(unsure),RWU
74,X,,NRJ,IKR,,IZO
75,X,,INY,IKR,,SUL
76,X,,NRJ,REM,,IZO
77,,,INO,NTI,KAT,KAT
78,,,INO,GAH,,NTI
79,,,WIG,GAH,KBU,MBI
80,,,IKR,NTI,,NTI
81,,,KHA_2,NTI,,KWIG
82,,,INO,REM,WIG,KWIG
83,,,KAV,REM,,ICM
84,X,,ICM,IKR,,NAN
85,,88,RAK,NTI,ICM,ICM
86,X,,INO,IKR,,NAN
87,,,RAK,KAV,,ICM
88,,85,KHA_2,NTI,ICM,ICM
89,,,,KHA,,KAV
90,,,,KHA,RAK (unsure),NTI